date,type,ticker,shares,price,amount
2026-06-09,deposit,,,,2682
2026-06-10,buy,TSLA,1,400.66,
2026-06-10,buy,NFLX,3,83.26,
2026-06-10,buy,META,2,589.07,
2026-06-10,buy,NVDA,4,208.1,
2026-07-10,sell,META,2,665.7,
2026-07-14,buy,QCOM,3,188.76,
2026-07-14,buy,ORCL,4,134.52,
2026-08-04,sell,ORCL,4,139.75,
2026-08-04,sell,NVDA,4,208.93,
2026-08-11,buy,NVDA,3,220.92,
2026-08-11,buy,AAPL,1.25,313.12,
2026-08-17,buy,RKLB,3,82.10,
2026-08-17,sell,NVDA,3,224.20,
2026-08-20,buy,META,1,553.72,
